months,A0,C_base,r_annual,alpha,margin_per_person,bond_capital_end,impact_cum,months_positive_u,pct_months_positive_u,first_impact_month,avg_u,avg_u_positive
60,100,2000.0,0.04,0.5,50.0,94571.03387773759,94571.03387773759,60,1.0,1.0,3152.367795924586,3152.367795924586
120,100,2000.0,0.04,0.9,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
120,100,2000.0,0.04,0.8,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
120,100,2000.0,0.04,0.7,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
120,100,2000.0,0.04,0.6,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
120,100,2000.0,0.04,0.5,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
120,100,2000.0,0.04,0.9,15.0,0.0,0.0,0,0.0,,-500.0,0.0
120,100,2000.0,0.04,0.8,15.0,0.0,0.0,0,0.0,,-500.0,0.0
120,100,2000.0,0.04,0.7,15.0,0.0,0.0,0,0.0,,-500.0,0.0
120,100,2000.0,0.04,0.6,15.0,0.0,0.0,0,0.0,,-500.0,0.0
120,100,2000.0,0.04,0.5,15.0,0.0,0.0,0,0.0,,-500.0,0.0
120,100,2000.0,0.04,0.9,20.0,0.0,0.0,0,0.0,,0.0,0.0
120,100,2000.0,0.04,0.8,20.0,0.0,0.0,0,0.0,,0.0,0.0
120,100,2000.0,0.04,0.7,20.0,0.0,0.0,0,0.0,,0.0,0.0
120,100,2000.0,0.04,0.6,20.0,0.0,0.0,0,0.0,,0.0,0.0
120,100,2000.0,0.04,0.5,20.0,0.0,0.0,0,0.0,,0.0,0.0
120,100,2000.0,0.04,0.9,25.0,64883.57539596393,7209.286155107104,120,1.0,1.0,600.7738462589252,600.7738462589252
120,100,2000.0,0.04,0.8,25.0,56481.20358037121,14120.3008950928,120,1.0,1.0,588.3458706288671,588.3458706288671
120,100,2000.0,0.04,0.7,25.0,48404.74972098303,20744.892737564158,120,1.0,1.0,576.2470204878933,576.2470204878933
120,100,2000.0,0.04,0.6,25.0,40641.67398412026,27094.44932274684,120,1.0,1.0,564.4676942238924,564.4676942238924
120,100,2000.0,0.04,0.5,25.0,33179.91507937625,33179.91507937625,120,1.0,1.0,552.9985846562709,552.9985846562709
120,100,2000.0,0.04,0.9,30.0,129767.15079192787,14418.57231021421,120,1.0,1.0,1201.5476925178505,1201.5476925178505
120,100,2000.0,0.04,0.8,30.0,112962.40716074246,28240.601790185607,120,1.0,1.0,1176.6917412577345,1176.6917412577345
120,100,2000.0,0.04,0.7,30.0,96809.49944196607,41489.78547512832,120,1.0,1.0,1152.494040975787,1152.494040975787
120,100,2000.0,0.04,0.6,30.0,81283.34796824052,54188.89864549368,120,1.0,1.0,1128.9353884477848,1128.9353884477848
120,100,2000.0,0.04,0.5,30.0,66359.83015875252,66359.83015875252,120,1.0,1.0,1105.997169312542,1105.997169312542
120,100,2000.0,0.04,0.9,40.0,259534.30158385573,28837.14462042842,120,1.0,1.0,2403.095385035701,2403.095385035701
120,100,2000.0,0.04,0.8,40.0,225924.8143214849,56481.20358037121,120,1.0,1.0,2353.383482515469,2353.383482515469
120,100,2000.0,0.04,0.7,40.0,193618.99888393213,82979.57095025665,120,1.0,1.0,2304.988081951574,2304.988081951574
120,100,2000.0,0.04,0.6,40.0,162566.69593648103,108377.79729098736,120,1.0,1.0,2257.8707768955696,2257.8707768955696
120,100,2000.0,0.04,0.5,40.0,132719.66031750504,132719.66031750504,120,1.0,1.0,2211.994338625084,2211.994338625084
120,100,2000.0,0.04,0.9,50.0,389301.4523757836,43255.7169306426,120,1.0,1.0,3604.6430775535514,3604.6430775535514
120,100,2000.0,0.04,0.8,50.0,338887.2214822274,84721.80537055682,120,1.0,1.0,3530.0752237732027,3530.0752237732027
120,100,2000.0,0.04,0.7,50.0,290428.4983258982,124469.356425385,120,1.0,1.0,3457.4821229273593,3457.4821229273593
120,100,2000.0,0.04,0.6,50.0,243850.04390472147,162566.69593648103,120,1.0,1.0,3386.806165343355,3386.806165343355
120,100,2000.0,0.04,0.5,50.0,199079.4904762576,199079.4904762576,120,1.0,1.0,3317.991507937627,3317.991507937627
