horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
60,500.0,10.0,8.0,28.0,,1,1,0,43876.510829409686,31340.364878149765,36511.32221707888,5,1.0,2349.6534190707475,503.0249078085571,12.057896090897927,0.3071571015010252,3.0,6.268072975629953
60,500.0,15.0,4.0,14.0,,1,1,0,75807.37002462645,54148.12144616178,72849.53462651608,7,1.0,4222.387879673144,504.064116410943,19.28177486777649,0.3549714935552185,3.0,7.735445920880254
60,500.0,20.0,3.0,10.0,59.0,1,1,1,120392.6429990533,85994.74499932375,153043.38752703927,7,1.0,7328.208958746419,505.4417747342978,27.983433241982482,0.4020793998846961,4.0,12.284963571331964
60,500.0,25.0,4.0,7.0,41.0,1,1,1,171179.5725063875,122271.12321884821,243928.27898093231,9,1.0,10858.311495173773,506.77643440363795,37.96901440335251,0.434283736974654,4.0,13.585680357649801
60,500.0,40.0,2.0,4.0,22.0,1,1,1,318238.2706499436,227313.05046424543,529245.8162524701,16,1.0,21449.266407777028,509.47042496838077,69.81837295795009,0.44952465430643024,4.0,14.20706565401534
60,500.0,50.0,1.0,4.0,18.0,1,1,1,427467.63502954564,305334.025021104,790344.2779841791,21,1.0,30135.40602313098,511.2969987515157,95.69516947566069,0.4753140191242681,4.0,14.53971547719543
60,500.0,75.0,1.0,2.0,8.0,1,1,1,662527.0195949256,473233.5854249467,1918393.4674527692,22,1.0,58263.979203376504,515.4209031390636,174.69517900941673,0.6282324482150811,4.0,21.51061751931576
60,500.0,100.0,1.0,2.0,5.0,1,1,1,815691.6338866442,582636.8813476033,3469772.8897945173,22,1.0,90198.26379366439,519.0829199794159,265.751876455754,0.7,4.0,26.48349460670924
60,500.0,150.0,1.0,1.0,3.0,1,1,1,1373620.0484540933,981157.1774672094,7022042.714031967,22,1.0,171542.77731537775,528.4401872684543,597.4714278501244,0.7,4.0,44.59805352123679
60,500.0,250.0,1.0,1.0,2.0,1,1,1,2857876.689426583,2041340.49244756,15423586.592251753,22,1.0,370467.5816735048,551.6255319760359,1472.9007760114364,0.7,4.0,92.78820420216182
120,10.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1950.0,10.0,5.0,,1.0,0.0
120,10.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1900.0,10.0,10.0,,1.0,0.0
120,10.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1850.0,10.0,15.0,,1.0,0.0
120,10.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1800.0,10.0,20.0,,1.0,0.0
120,10.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,10.0,25.0,,1.0,0.0
